Show.Name,Show.Theatre
'Night Mother,['Royale']
110 In The Shade,['Studio 54']
13,['Jacobs']
1776,['Criterion' 'Gershwin']
33 Variations,"[""Eugene O'Neill""]"
42Nd Street '01,['Ford Center']
45 Seconds From Broadway,['Richard Rodgers']
700 Sundays,['Broadhurst']
700 Sundays '13,['Imperial']
9 To 5,['Marquis']
A Behanding In Spokane,['Schoenfeld']
A Bronx Tale,['Walter Kerr']
A Catered Affair,['Walter Kerr']
A Chorus Line '06,['Schoenfeld']
A Christmas Carol '01,['Marquis']
A Christmas Story,['Lunt-Fontanne']
A Class Act,['Ambassador']
A Day In The Death Of Joe Egg,['American Airlines']
A Delicate Balance,['Plymouth']
A Delicate Balance 2014,['Golden']
A Doll'S House,['Belasco']
A Free Man Of Color,['Vivian Beaumont']
A Funny Thing Happened On The Way To The Forum,['St. James']
A Gentleman'S Guide To Love And Murder,['Walter Kerr']
A Life In The Theatre,['Schoenfeld']
A Little More Magic,['Belasco']
A Little Night Music,['Walter Kerr']
A Man For All Seasons,['American Airlines']
A Midsummer Night'S Dream,['Lunt-Fontanne']
A Mom'S Life,['Belasco']
A Month In The Country,['Criterion']
A Moon For The Misbegotten 00,['Walter Kerr']
A Moon For The Misbegotten 07,['Brooks Atkinson']
A Naked Girl On The Appian Way,['American Airlines']
A Night With Janis Joplin,['Lyceum']
A Raisin In The Sun,['Royale']
A Raisin In The Sun '14,['Ethel Barrymore']
A Steady Rain,['Schoenfeld']
A Streetcar Named Desire '12,['Broadhurst']
A Streetcar Named Desire 05,['Studio 54']
A Streetcar Named Desire 92,['Ethel Barrymore']
A Tale Of Two Cities,['Al Hirschfeld']
A Thousand Clowns,['Criterion']
A Thousand Clowns 01,['Longacre']
A Time To Kill,['Golden']
A Touch Of The Poet,['Studio 54']
A View From The Bridge,['Criterion' 'Neil Simon']
A View From The Bridge '10,['Cort']
A View From The Bridge 2015,['Lyceum']
A Year With Frog And Toad,['Cort']
Absurd Person Singular,['Biltmore']
Accent On Youth,['Friedman']
Act One,['Vivian Beaumont']
After Midnight,['Brooks Atkinson']
After Miss Julie,['American Airlines']
After The Fall,['American Airlines']
After The Night And The Music,['Biltmore']
"Ah, Wilderness",['Vivian Beaumont']
Aida,['Palace']
Airline Highway,['Friedman']
Aladdin,['New Amsterdam']
All About Me,['Henry Miller (Rndabt)']
All My Sons 08,['Schoenfeld']
All Shook Up,['Palace']
All The Way,['Neil Simon']
Allegiance,['Longacre']
Amadeus,['Music Box']
Amazing Grace,['Nederlander']
American Buffalo,['Belasco']
American Idiot,['St. James']
American Psycho,['Schoenfeld']
Amour,['Music Box']
Amy'S View,['Ethel Barrymore']
An Act Of God,['Studio 54']
An Act Of God 2016,['Booth']
An Almost Holy Picture,['American Airlines']
An American Daughter,['Cort']
An American In Paris,['Palace']
An Enemy Of The People,['Friedman']
An Evening With Jerry Herman,['Booth']
An Evening With Patti Lupone And Mandy Patinkin,['Ethel Barrymore']
An Ideal Husband,['Ethel Barrymore']
Ann,['Vivian Beaumont']
Anna In The Tropics,['Royale']
Annie,['Martin Beck']
Annie '12,['Palace']
Annie Get Your Gun,['Marquis']
Anything Goes '11,['Stephen Sondheim']
Arcadia,['Vivian Beaumont']
Arcadia '11,['Ethel Barrymore']
Art,['Royale']
As Long As We Both Shall Laugh,['American Airlines']
Assassins,['Studio 54']
August: Osage County,['Imperial' 'Music Box']
Avenue Q,['Golden']
Awake And Sing!,['Belasco']
Aznavour,['Marquis']
Baby It'S You!,['Broadhurst']
Band In Berlin,['Helen Hayes']
Barbara Cook'S Broadway,['Vivian Beaumont']
Barbara Cook: Mostly Sondheim,['Vivian Beaumont']
Barefoot In The Park,['Cort']
Barrymore,['Music Box']
Bea Arthur On Broadway,['Booth']
Beautiful,['Stephen Sondheim']
Beauty And The Beast,['Palace' 'Lunt-Fontanne']
Bells Are Ringing,['Plymouth']
Bengal Tiger At The Bagdhad Zoo,['Richard Rodgers']
Betrayal,['American Airlines']
Betrayal '13,['Ethel Barrymore']
Big,['Shubert']
Big Fish,['Neil Simon']
Big River '03,['American Airlines']
Bill Maher: Victory Begins At Home,['Virginia']
Billy Elliot: The Musical,['Imperial']
Blackbird,['Belasco']
Blast!,['Broadway']
Blithe Spirit '09,['Shubert']
Bloody Bloody Andrew Jackson,['Jacobs']
Bobbi Boland,['Cort']
Boeing-Boeing,['Longacre']
Bombay Dreams,['Broadway']
Bonnie And Clyde,['Schoenfeld']
Born Yesterday '11,['Cort']
Breakfast At Tiffany'S,['Cort']
Bridge And Tunnel,['Helen Hayes']
Brief Encounter,['Studio 54']
Bright Star,['Cort']
Brighton Beach Memoirs '09,['Nederlander']
"Bring In Da Noise, Bring In Da Funk",['Ambassador']
Bring It On The Musical,['St. James']
Broken Glass,['Booth']
Bronx Bombers,['Circle In The Square']
Brooklyn,['Plymouth' 'Schoenfeld']
Brooklyn Boy,['Biltmore']
Bullets Over Broadway,['St. James']
Buried Child,['Brooks Atkinson']
Burn The Floor,['Longacre']
Bus Stop,['Circle In The Square']
Butley,['Booth']
Buttons On Broadway,['Ambassador']
By Jeeves,['Helen Hayes']
Bye Bye Birdie,['Henry Miller (Rndabt)']
Cabaret '14,['Studio 54']
Cabaret 98,"['Kit Kat Klub' ""Studio 54 ('98)""]"
Candide,['Gershwin']
"Caroline, Or Change","[""Eugene O'Neill""]"
Casa Valentina,['Friedman']
Cat On A Hot Tin Roof '12,['Richard Rodgers']
Cat On A Hot Tin Roof 03,['Music Box']
Cat On A Hot Tin Roof 08,['Broadhurst']
Catch Me If You Can,['Neil Simon']
Cats,['Winter Garden']
Cats 2016,['Neil Simon']
Chaplin,['Ethel Barrymore']
Chicago,['Richard Rodgers' 'Shubert' 'Ambassador']
China Doll,['Schoenfeld']
Chinglish,['Longacre']
Chita Rivera: The Dancer'S Life,['Schoenfeld']
Chitty Chitty Bang Bang,['Hilton Theatre']
Chronicle Of A Death Foretold,['Plymouth']
Cinderella,['Broadway']
Cirque Dreams: Jungle Fantasy,['Broadway']
Closer,['Music Box']
Clybourne Park,['Walter Kerr']
Colin Quinn - An Irish Wake,['Helen Hayes']
Colin Quinn: Long Story Short,['Helen Hayes']
Collected Stories,['Friedman']
"Come Back, Little Sheba",['Biltmore']
Come Fly Away,['Marquis']
Company 06,['Ethel Barrymore']
Company 95,['Criterion']
Constellations,['Friedman']
Contact,['Vivian Beaumont']
Copenhagen,['Royale']
Coram Boy,['Imperial']
Cry Baby,['Marquis']
Curtains,['Al Hirschfeld']
Cymbeline,['Vivian Beaumont']
Cyrano De Bergerac,['Richard Rodgers']
Cyrano De Bergerac '12,['American Airlines']
Dame Edna:  Back With A Vengeance,['Music Box']
Dame Edna: The Royal Tour,['Booth']
Dames At Sea,['Helen Hayes']
Dance Of Death,['Broadhurst']
Dance Of The Vampires,['Minskoff']
Danny Gans On Broadway,['Neil Simon']
Dead Accounts,['Music Box']
Death Of A Salesman '12,['Ethel Barrymore']
Death Of A Salesman 99,"[""Eugene O'Neill""]"
Def Poetry Jam,['Longacre']
Defending The Caveman,['Helen Hayes' 'Booth']
Democracy,['Brooks Atkinson']
Design For Living 01,['American Airlines']
Desire Under The Elms,['St. James']
Deuce,['Music Box']
Dinner At Eight,['Vivian Beaumont']
Dirty Blonde,['Helen Hayes']
Dirty Rotten Scoundrels,['Imperial']
Disaster!,['Nederlander']
Disgraced,['Lyceum']
Dividing The Estate,['Booth']
Doctor Zhivago,['Broadway']
Don'T Dress For Dinner,['American Airlines']
Donny & Marie: A Broadway Christmas,['Marquis']
Doubt,['Walter Kerr']
Dr. Seuss' How The Grinch Stole Christmas!,['Hilton Theatre']
Dr. Seuss' How The Grinch Stole Christmas! 07,['St. James']
"Dracula, The Musical",['Belasco']
Dream: The Johnny Mercer Musical,['Royale']
Dreams And Nightmares,['Martin Beck']
Driving Miss Daisy,['Golden']
Drowning Crow,['Biltmore']
Eclipsed,['Golden']
Elaine Stritch At Liberty,['Neil Simon']
Electra,['Ethel Barrymore']
Elf,['Al Hirschfeld']
Elf '12,['Al Hirschfeld']
Elling,['Ethel Barrymore']
Enchanted April,['Belasco']
End Of The Rainbow,['Belasco']
Enron,['Broadhurst']
Epic Proportions,['Helen Hayes']
Equus,['Broadhurst']
Eugene Onegin,['Martin Beck']
Everyday Rapture,['American Airlines']
Evita,['Marquis']
Exit The King,['Ethel Barrymore']
Faith Healer,['Booth']
Fela!,"[""Eugene O'Neill""]"
Fela! '12,['Al Hirschfeld']
Fences '10,['Cort']
Festen,['Music Box']
Fiddler On The Roof 04,['Minskoff']
Fiddler On The Roof 2015,['Broadway']
Finding Neverland,['Lunt-Fontanne']
Finian'S Rainbow,['St. James']
First Date,['Longacre']
Fish In The Dark,['Cort']
Flower Drum Song,['Virginia']
Follies,['Belasco']
Follies '11,['Marquis']
Fool For Love,['Friedman']
Fool Moon '98,['Brooks Atkinson']
Footloose,['Richard Rodgers']
Forever Tango '04,['Shubert']
Forever Tango '13,['Walter Kerr']
Forever Tango '97,['Walter Kerr' 'Marquis']
Fortune'S Fool,['Music Box']
Fosse,['Broadhurst']
Frankie And Johnny In The Claire De Lune,['Belasco']
Frankie Valli And The Four Seasons On Broadway,['Broadway']
Freak,['Cort']
Frost/Nixon,['Jacobs']
Frozen,['Circle In The Square']
Fully Committed,['Lyceum']
Fun Home,['Circle In The Square']
Garden District,['Circle In The Square']
Gem Of The Ocean,['Walter Kerr']
George Gershwin Alone,['Helen Hayes']
Getting And Spending,['Helen Hayes']
Ghetto Klown,['Lyceum']
Ghost,['Lunt-Fontanne']
Gigi,['Neil Simon']
Glengarry Glen Ross '05,['Royale' 'Jacobs']
Glengarry Glen Ross '12,['Schoenfeld']
Glory Days,['Circle In The Square']
God Of Carnage,['Jacobs']
"God Said ""Ha""",['Lyceum']
Godspell,['Circle In The Square']
Golda'S Balcony,['Helen Hayes']
Golden Boy,['Belasco']
Golden Child,['Longacre']
Good People,['Friedman']
Good Vibrations,"[""Eugene O'Neill""]"
Gore Vidal'S The Best Man,['Virginia']
Gore Vidal'S The Best Man '12,['Schoenfeld']
Grace,['Cort']
Grease,"[""Eugene O'Neill""]"
Grease 07,['Brooks Atkinson']
Grey Gardens,['Walter Kerr']
Guys And Dolls '09,['Nederlander']
Gypsy '03,['Shubert']
Gypsy '08,['St. James']
Hair,['Al Hirschfeld']
Hair '11,['St. James']
Hairspray,['Neil Simon']
Hamilton,['Richard Rodgers']
Hamlet '09,['Broadhurst']
Hamlet 95,['Belasco']
Hand To God,['Booth']
Hands On A Hardbody,['Brooks Atkinson']
"Harry Connick, Jr. '10",['Neil Simon']
Harvey,['Studio 54']
Having Our Say,['Booth']
Heartbreak House,['American Airlines']
Hedda Gabler 01,['Ambassador']
Hedda Gabler 09,['American Airlines']
Hedwig And The Angry Inch,['Belasco']
"Hello, Dolly!",['Lunt-Fontanne']
Henry Iv,['Vivian Beaumont']
High,['Booth']
High Fidelity,['Imperial']
High Society,['St. James']
Holiday,['Circle In The Square']
Holler If Ya Hear Me,['Palace']
Hollywood Arms,['Cort']
Honeymoon In Vegas,['Nederlander']
Honour,['Belasco']
Hot Feet,['Hilton Theatre']
How To Succeed In Business Without Really Trying,['Richard Rodgers']
How To Succeed In Business Without Really Trying '11,['Al Hirschfeld']
"Hugh Jackman, Back On Broadway",['Broadhurst']
Hughie,['Circle In The Square']
Hughie 2016,['Booth']
I Am My Own Wife,['Lyceum']
I'Ll Eat You Last: A Chat With Sue Mengers,['Booth']
I'M Not Rappaport '02,['Booth']
I'M Still Here...Damn It!,['Booth']
If You Ever Leave Me…I'M Going With You,['Cort']
If/Then,['Richard Rodgers']
Il Divo - A Musical Affair,['Marquis']
Imaginary Friends,['Ethel Barrymore']
Impressionism,['Schoenfeld']
In My Life,['Music Box']
In The Heights,['Richard Rodgers']
In The Next Room Or The Vibrator Play,['Lyceum']
Indiscretions,['Ethel Barrymore']
Inherit The Wind 07,['Lyceum']
Into The Woods '02,['Broadhurst']
Irena'S Vow,['Walter Kerr']
Irving Berlin'S White Christmas,['Marquis']
Irving Berlin'S White Christmas '09,['Marquis']
Is He Dead?,['Lyceum']
It Ain'T Nothin' But The Blues,['Vivian Beaumont' 'Ambassador']
It Shoulda Been You,['Brooks Atkinson']
It'S A Slippery Slope,['Vivian Beaumont']
It'S Only A Play,['Schoenfeld' 'Jacobs']
Ivanov,['Vivian Beaumont']
Jackie Mason'S Laughing Room Only,['Brooks Atkinson']
Jackie Mason:  Freshly Squeezed,['Helen Hayes']
Jackie Mason:  Politically Incorrect,['Golden']
Jackie Mason: Much Ado About Everything,['Golden']
Jackie: An American Life,['Belasco']
James Joyce'S The Dead,['Belasco']
Jane Eyre,['Brooks Atkinson']
Jay Johnson: The Two And Only,['Helen Hayes']
Jekyll & Hyde,['Plymouth']
Jekyll & Hyde '13,['Marquis']
Jerry Seinfeld,['Broadhurst']
Jersey Boys,['Virginia' 'August Wilson']
Jerusalem,['Music Box']
Jesus Christ Superstar,['Ford Center (Tcn)']
Jesus Christ Superstar '12,['Neil Simon']
Joe Turner'S Come And Gone '09,['Belasco']
Journey'S End,['Belasco']
Juan Darien,['Vivian Beaumont']
Judgment At Nuremberg,['Longacre']
Julius Caesar,['Belasco']
Jumpers,['Brooks Atkinson']
Kat And The Kings,['Cort']
Kathy Griffin Wants A Tony,['Belasco']
Kiki & Herb: Alive On Broadway,['Helen Hayes']
King Charles Iii,['Music Box']
King David,['New Amsterdam']
King Hedley Ii,['Virginia']
King Lear,['Vivian Beaumont']
Kinky Boots,['Al Hirschfeld']
"Kiss Me, Kate",['Martin Beck']
Kiss Of The Spider Woman,['Broadhurst']
La Bete '10,['Music Box']
La Bohème,['Broadway']
La Cage Aux Folles '04,['Marquis']
La Cage Aux Folles '10,['Longacre']
Lady Day At Emerson'S Bar & Grill,['Circle In The Square']
Latinologues,['Helen Hayes']
Laugh Whore,['Cort']
Leap Of Faith,['St. James']
Legally Blonde,['Palace']
Lend Me A Tenor '10,['Music Box']
Lennon,['Broadhurst']
Les Liaisons Dangereuses 08,['American Airlines']
Les Miserables,['Imperial']
Les Miserables '14,['Imperial']
Les Miserables 2006,['Broadhurst']
Lestat,['Palace']
Let It Be,['St. James']
Life X 3,['Circle In The Square']
Little Me,['Criterion']
Little Shop Of Horrors,['Virginia']
Little Women,['Virginia']
Living On Love,['Longacre']
Liza'S At The Palace,['Palace']
Lombardi,['Circle In The Square']
London Assurance,['Criterion']
Long Day'S Journey Into Night 03,['Plymouth']
Long Day'S Journey Into Night 2016,['American Airlines']
Looped,['Lyceum']
Lord Of The Dance: Dangerous Games,['Lyric']
Losing Louie,['Biltmore']
Love / Life,['Vivian Beaumont']
Love Letters 2014,['Brooks Atkinson']
Love Thy Neighbor,['Booth']
Love! Valour! Compassion!,['Walter Kerr']
Lovemusik,['Biltmore']
Lucky Guy,['Broadhurst']
Lysistrata Jones,['Walter Kerr']
Ma Rainey'S Black Bottom '03,['Royale']
Macbeth '13,['Ethel Barrymore']
Macbeth '13 (Lct),['Vivian Beaumont']
Macbeth 00,['Music Box']
Macbeth 08,['Lyceum']
