Show.Name,Show.Theatre
Machinal,['American Airlines']
Magic/Bird,['Longacre']
Major Barbara,['American Airlines']
Mamma Mia!,['Winter Garden' 'Cadillac Winter Garden' 'Broadhurst']
Man And Boy,['American Airlines']
Man Of La Mancha 02,['Martin Beck' 'Al Hirschfeld']
Mandy Patinkin,['Lyceum']
Mandy Patinkin In Concert: Mamaloshen,['Belasco']
Manilow On Broadway,['St. James']
Marc Salem'S Mind Games,['Lyceum']
Marie Christine,['Vivian Beaumont']
Mark Twain Tonight!,['Brooks Atkinson']
Marlene,['Cort']
Martin Short: Fame Becomes Me,['Jacobs']
Mary Poppins,['New Amsterdam']
Mary Stuart,['Broadhurst']
Master Class,['Golden']
Master Class '11,['Friedman']
Master Harold…And The Boys,['Royale']
Match,['Plymouth']
Matilda,['Shubert']
Matters Of The Heart,['Vivian Beaumont']
Mauritius,['Biltmore']
Medea 02,['Brooks Atkinson']
Memphis,['Shubert']
"Men Are From Mars, Women Are From Venus",['Gershwin']
Metamorphoses,['Circle In The Square']
Mike Tyson: Undisputed Truth,['Longacre']
Million Dollar Quartet,['Nederlander']
Minnelli On Minnelli,['Palace']
Misery,['Broadhurst']
Miss Saigon,['Broadway']
Monty Python'S Spamalot,['Shubert']
Moon Over Buffalo,['Martin Beck']
More To Love: A Big Fat Comedy,"[""Eugene O'Neill""]"
Morning'S At Seven,['Lyceum']
"Morning, Noon And Night",['Vivian Beaumont']
Mothers And Sons,['Golden']
Motown The Musical,['Lunt-Fontanne']
Motown The Musical 2016,['Nederlander']
Movin' Out,['Richard Rodgers']
Mrs. Warren'S Profession,['American Airlines']
Never Gonna Dance,['Broadhurst']
Newsies,['Nederlander']
Next Fall,['Helen Hayes']
Next To Normal,['Booth']
Nice Work If You Can Get It,['Imperial']
Night Must Fall,['Lyceum' 'Helen Hayes']
Nine,"[""Eugene O'Neill""]"
No Man'S Land/Waiting For Godot,['Cort']
Noises Off '01,['Brooks Atkinson']
Noises Off 2016,['American Airlines']
Not About Nightingales,['Circle In The Square']
November,['Ethel Barrymore']
Of Mice And Men,['Longacre']
Oklahoma!,['Gershwin']
Old Acquaintance,['American Airlines']
Old Times,['American Airlines']
Oldest Living Confederate Widow Tells All,['Longacre']
Oleanna,['Golden']
On A Clear Day You Can See Forever,['St. James']
On Golden Pond,['Cort']
On The Town,['Gershwin']
On The Town 2014,['Lyric']
On The Twentieth Century,['American Airlines']
On Your Feet!,['Marquis']
Once,['Jacobs']
Once Upon A Mattress,['Broadhurst']
One Flew Over The Cuckoo'S Nest,['Royale']
"One Man, Two Guvnors",['Music Box']
One Mo' Time,['Longacre']
Orphans,['Schoenfeld']
Other Desert Cities,['Booth']
Our Mother'S Brief Affair,['Friedman']
Our Town 02,['Booth']
Outside Mullingar,['Friedman']
Pacific Overtures,['Studio 54']
Pal Joey,['Studio 54']
Parade,['Vivian Beaumont']
Paramour,['Lyric']
Passing Strange,['Belasco']
Patti Labelle On Broadway,['St. James']
Patti Lupone On Broadway,['Walter Kerr']
Penn & Teller On Broadway,['Marquis']
Peter And The Starcatcher,['Brooks Atkinson']
Peter Pan 98,['Marquis' 'Gershwin']
Picnic '12,['American Airlines']
Pippin,['Music Box']
Play On!,['Brooks Atkinson']
Porgy And Bess '11,['Richard Rodgers']
Prelude To A Kiss 2007,['American Airlines']
Present Laughter,['Walter Kerr']
Present Laughter '10,['American Airlines']
Primo,['Music Box']
Priscilla Queen Of The Desert,['Palace']
Private Lives '11,['Music Box']
Private Lives 02,['Richard Rodgers']
"Promises, Promises",['Broadway']
Proof,['Walter Kerr']
Proposals,['Broadhurst']
Prune Danish,['Royale']
Prymate,['Longacre']
Putting It Together,['Ethel Barrymore']
Pygmalion 07,['American Airlines']
Qed,['Vivian Beaumont']
Rabbit Hole,['Biltmore']
Race,['Ethel Barrymore']
Radio Golf,['Cort']
Ragtime,['Ford Center (Livent)']
Ragtime '09,['Neil Simon']
Rain: A Tribute To The Beatles On Broadway,['Neil Simon' 'Brooks Atkinson']
Reasons To Be Pretty,['Lyceum']
Reckless,['Biltmore']
Red,['Golden']
Relatively Speaking,['Brooks Atkinson']
Rent,['Nederlander']
Ring Of Fire,['Ethel Barrymore']
Ring Round The Moon,['Belasco']
Riverdance,['Gershwin']
Rock 'N' Roll,['Jacobs']
Rock Of Ages,['Brooks Atkinson' 'Helen Hayes']
Rocky,['Winter Garden']
Romeo And Juliet,['Richard Rodgers']
Rose,['Lyceum']
Running On Empty,['Richard Rodgers']
Sacrilege,['Belasco']
Salome,['Ethel Barrymore']
Saturday Night Fever,['Minskoff']
"Say Goodnight, Gracie",['Helen Hayes']
Scandalous,['Neil Simon']
School For Scandal,['Lyceum']
School Of Rock,['Winter Garden']
Seascape,['Booth']
Seminar,['Golden']
Seussical,['Richard Rodgers']
Seven Guitars,['Walter Kerr']
Sex And Longing,['Cort']
Sexaholix '01,['Royale']
Sexaholix '03,['Broadway']
Shatner'S World: We Just Live In It,['Music Box']
She Loves Me 2016,['Studio 54']
Shining City,['Biltmore']
Show Boat,['Gershwin']
Shrek The Musical,['Broadway']
Shuffle Along,['Music Box']
Side Man,['Criterion' 'Golden']
Side Show,['Richard Rodgers']
Side Show 2014,['St. James']
Sight Unseen,['Biltmore']
Sister Act,['Broadway']
Six Dance Lessons In Six Weeks,['Belasco']
Sixteen Wounded,['Walter Kerr']
Skylight,['Royale']
Skylight 2015,['Golden']
Slava'S Snowshow,['Helen Hayes']
Sly Fox,['Ethel Barrymore']
Smokey Joe'S Cafe,['Virginia']
Something Rotten!,['St. James']
Sondheim On Sondheim,['Studio 54']
Soul Doctor,['Circle In The Square']
Soul Of Shaolin,['Marquis']
South Pacific,['Vivian Beaumont']
Souvenir,['Lyceum']
Speed The Plow '08,['Ethel Barrymore']
Spider-Man Turn Off The Dark,['Foxwoods']
Spring Awakening,"[""Eugene O'Neill""]"
Spring Awakening 2015,['Brooks Atkinson']
Squonk,['Helen Hayes']
Stanley,['Circle In The Square']
State Fair,['Music Box']
Steel Magnolias,['Lyceum']
Steel Pier,['Richard Rodgers']
Stick Fly,['Cort']
Stones In His Pockets,['Golden']
Street Corner Symphony,['Brooks Atkinson']
Summer And Smoke,['Criterion']
Sunday In The Park With George '08,['Studio 54']
Sunset Boulevard,['Minskoff']
Superior Donuts,['Music Box']
Swan Lake,['Neil Simon']
Sweeney Todd 05,"[""Eugene O'Neill""]"
Sweet Charity 05,['Al Hirschfeld']
Sweet Smell Of Success,['Martin Beck']
Swing!,['St. James']
Sylvia,['Cort']
Taboo,['Plymouth']
Take Me Out,['Walter Kerr']
Taking Sides,['Brooks Atkinson']
Talk Radio,['Longacre']
Taller Than A Dwarf,['Longacre']
Tango Argentino '99,['Gershwin']
Tartuffe 03,['American Airlines']
Tartuffe 96,['Circle In The Square']
Tarzan,['Richard Rodgers']
That Championship Season,['Jacobs']
The 25Th Annual Putnam County Spelling Bee,['Circle In The Square']
The 39 Steps,['American Airlines' 'Cort' 'Helen Hayes']
The Addams Family,['Lunt-Fontanne']
The Adventures Of Tom Sawyer,['Minskoff']
The American Plan,['Friedman']
The Anarchist,['Golden']
The Apple Tree,['Studio 54']
The Assembled Parties,['Friedman']
The Audience,['Schoenfeld']
The Beauty Queen Of Leenane,['Walter Kerr']
The Big Knife,['American Airlines']
The Blonde In The Thunderbird,['Brooks Atkinson']
The Blue Room,['Cort']
The Book Of Mormon,"[""Eugene O'Neill""]"
The Boy From Oz,['Imperial']
The Boys From Syracuse,['American Airlines']
The Bridges Of Madison County,['Schoenfeld']
The Caine Mutiny Court-Martial,['Schoenfeld']
The Capeman,['Marquis']
The Caretaker 03,['American Airlines']
The Chairs,['Golden']
The Cherry Orchard,['Martin Beck']
The Civil War,['St. James']
The Coast Of Utopia,['Vivian Beaumont']
The Color Purple,['Broadway']
The Color Purple 2015,['Jacobs']
The Columnist,['Friedman']
The Constant Wife,['American Airlines']
The Country Girl,['Jacobs']
The Country House,['Friedman']
The Cripple Of Inishmaan,['Cort']
The Crucible 02,['Virginia']
The Crucible 2016,['Walter Kerr']
The Curious Incident Of The Dog In The Night-Time,['Ethel Barrymore']
The Deep Blue Sea,['Criterion']
The Diary Of Anne Frank,['Music Box']
The Dinner Party,['Music Box']
The Drowsy Chaperone,['Marquis']
The Elephant Man,['Royale']
The Elephant Man 2014,['Booth']
The Farnsworth Invention,['Music Box']
The Father 2016,['Friedman']
The Frogs,['Vivian Beaumont']
The Full Monty,"[""Eugene O'Neill""]"
The Gathering,['Cort']
The Gershwins' Fascinating Rhythm,['Longacre']
The Gin Game,['Lyceum']
The Gin Game 2015,['Golden']
The Glass Menagerie '13,['Booth']
The Glass Menagerie 05,['Ethel Barrymore']
"The Goat, Or Who Is Sylvia?",['Golden']
The Good Body,['Booth']
The Graduate,['Plymouth']
The Green Bird,['Cort']
The Heidi Chronicles 2015,['Music Box']
The Heiress '12,['Walter Kerr']
The Herbal Bed,"[""Eugene O'Neill""]"
The History Boys,['Broadhurst']
The Homecoming 07,['Cort']
The House Of Blue Leaves '11,['Walter Kerr']
The Humans,['Helen Hayes' 'Schoenfeld']
The Iceman Cometh 99,['Brooks Atkinson']
The Illusionists - Live On Broadway,['Neil Simon']
The Illusionists - Witness The Impossible,['Marquis']
The Importance Of Being Earnest,['American Airlines']
The Invention Of Love,['Lyceum']
The Judas Kiss,['Broadhurst']
The King And I 2015,['Vivian Beaumont']
The King And I 96,['Neil Simon']
The Last Night Of Ballyhoo,['Helen Hayes']
The Last Ship,['Neil Simon']
The Lieutenant Of Inishmore,['Lyceum']
The Life,['Ethel Barrymore']
The Light In The Piazza,['Vivian Beaumont']
The Lion In Winter,['Criterion']
The Lion King,['New Amsterdam' 'Minskoff']
The Little Dog Laughed,['Cort']
The Little Foxes,['Vivian Beaumont']
The Little Mermaid,['Lunt-Fontanne']
The Lonesome West,['Lyceum']
The Look Of Love,['Brooks Atkinson']
The Lyons,['Cort']
The Man Who Came To Dinner,['American Airlines']
The Man Who Had All The Luck,['American Airlines']
The Merchant Of Venice '10,['Broadhurst']
The Miracle Worker,['Circle In The Square']
The Motherf**Ker With The Hat,['Schoenfeld']
The Mountaintop,['Jacobs']
The Music Man,['Neil Simon']
The Mystery Of Charles Dickens,['Belasco']
The Mystery Of Edwin Drood '12,['Studio 54']
The Nance,['Lyceum']
The Normal Heart,['Golden']
The Norman Conquests,['Circle In The Square']
The Odd Couple 05,['Brooks Atkinson']
The Old Neighborhood,['Booth']
The Other Place,['Friedman']
The Pajama Game,['American Airlines']
The Pee-Wee Herman Show,['Stephen Sondheim']
The People In The Picture,['Studio 54']
The Performers,['Longacre']
The Phantom Of The Opera,['Majestic']
The Philanthropist,['American Airlines']
The Pillowman,['Booth']
The Pirate Queen,['Hilton Theatre']
The Pitmen Painters,['Friedman']
The Play What I Wrote,['Lyceum']
The Play'S The Thing,['Criterion']
The Price 99,['Royale']
The Producers,['St. James']
The Rainmaker,['Brooks Atkinson']
The Rascals: Once Upon A Dream,['Richard Rodgers']
The Real Thing '00,['Ethel Barrymore']
The Real Thing 2014,['American Airlines']
The Realistic Joneses,['Lyceum']
The Rehearsal,['Criterion']
The Retreat From Moscow,['Booth']
The Ride Down Mt. Morgan,['Ambassador']
The Ritz,['Studio 54']
The Rivals,['Vivian Beaumont']
The River,['Circle In The Square']
The Road To Mecca,['American Airlines']
The Rocky Horror Show,['Circle In The Square']
The Rose Tattoo,['Circle In The Square']
The Royal Family,['Friedman']
The Scarlet Pimpernel,['Minskoff' 'Neil Simon']
The Scottsboro Boys,['Lyceum']
The Seafarer,['Booth']
The Seagull 08,['Walter Kerr']
The Search For Signs Of Intelligent Life In The Universe 00,['Booth']
The Shadow Box,['Circle In The Square']
The Sisters Rosensweig,['Ethel Barrymore']
The Smell Of The Kill,['Helen Hayes']
The Snow Geese,['Friedman']
The Sound Of Music,['Martin Beck']
The Story Of My Life,['Booth']
The Sunshine Boys,['Lyceum']
The Tale Of The Allergist'S Wife,['Ethel Barrymore']
The Tempest,['Broadhurst']
The Temptations And The Four Tops On Broadway,['Palace']
The Testament Of Mary,['Walter Kerr']
The Threepenny Opera,['Studio 54']
The Times They Are A-Changin',['Brooks Atkinson']
The Trip To Bountiful,['Stephen Sondheim']
The Velocity Of Autumn,['Booth']
The Vertical Hour,['Music Box']
The Violet Hour,['Biltmore']
The Visit 2015,['Lyceum']
The Wedding Singer,['Al Hirschfeld']
The Weir,['Walter Kerr']
The Wild Party,['Virginia']
The Winslow Boy,['American Airlines']
The Woman In White,['Marquis']
The Women,['American Airlines']
The Year Of Magical Thinking,['Booth']
The Young Man From Atlanta,['Longacre']
This Is Our Youth,['Cort']
Thoroughly Modern Millie,['Marquis']
Thou Shalt Not,['Plymouth']
Three Days Of Rain,['Jacobs']
Three Sisters,['Criterion']
Thurgood,['Booth']
Thérèse Raquin,['Studio 54']
Time Stands Still,['Friedman' 'Cort']
Titanic,['Lunt-Fontanne']
Title Of Show,['Lyceum']
To Be Or Not To Be,['Friedman']
Tommy,['St. James']
Top Girls,['Biltmore']
Topdog / Underdog,['Ambassador']
Translations 06,['Biltmore']
Triumph Of Love,['Royale']
Tru,['Booth']
True West,['Circle In The Square']
Tuck Everlasting,['Broadhurst']
Twelfth Night,['Vivian Beaumont']
Twelfth Night/Richard Iii,['Belasco']
Twelve Angry Men,['American Airlines']
Twentieth Century,['American Airlines']
Uncle Vanya,['Circle In The Square']
Uncle Vanya 00,['Brooks Atkinson']
Urban Cowboy,['Broadhurst']
Urinetown,['Henry Miller']
Vanya And Sonia And Masha And Spike,['Golden']
Venus In Fur,['Friedman' 'Lyceum']
Via Dolorosa,['Booth']
Victor/Victoria,['Marquis']
Vincent In Brixton,['Golden']
Violet,['American Airlines']
Voices In The Dark,['Longacre']
Wait Until Dark,['Brooks Atkinson']
Waiting For Godot,['Studio 54']
Waiting In The Wings,"['Walter Kerr' ""Eugene O'Neill""]"
Waitress,['Brooks Atkinson']
War Horse,['Vivian Beaumont']
Well,['Longacre']
West Side Story,['Palace']
Who'S Afraid Of Virginia Woolf?,['Longacre']
Who'S Afraid Of Virginia Woolf? '12,['Booth']
Whoopi,['Lyceum']
Wicked,['Gershwin']
Wishful Drinking,['Studio 54']
Wit,['Friedman']
Wolf Hall Parts One & Two,['Winter Garden']
Women On The Verge Of A Nervous Breakdown,['Belasco']
Wonderful Town,['Al Hirschfeld']
Wonderland,['Marquis']
Wrong Mountain,"[""Eugene O'Neill""]"
Xanadu,['Helen Hayes']
You Can'T Take It With You,['Longacre']
"You'Re A Good Man, Charlie Brown",['Ambassador']
You'Re Welcome America. A Final Night With George W. Bush,['Cort']
Young Frankenstein,['Hilton Theatre']
